"A1","#660000"
"A2","#980000"
"A3","#FF0000"
"A4","#E32636"
"A5","#FA624D"
"B1","#DE6318"
"B2","#FF7F00"
"B3","#FFA000"
"B4","#FFC549"
"B5","#FFC898"
"C1","#D3D100"
"C2","#FFFF00"
"C3","#EED54F"
"C4","#FFFF6D"
"C5","#FFFFAE"
"D1","#8C8C00"
"D2","#88BA41"
"D3","#778C62"
"D4","#8C8C62"
"D5","#96D28A"
"E1","#293206"
"E2","#65F3C9"
"E3","#77F6A7"
"E4","#B2FFFF"
"E5","#D8FFB2"
"F1","#34E3E5"
"F2","#65F3C9"
"F3","#77F6A7"
"F4","#B2FFFF"
"F5","#D8FFB2"
"G1","#205260"
"G2","#318C8C"
"G3","#628C8C"
"G4","#62778C"
"G5","#BDD6BD"
"H1","#1C0946"
"H2","#31318C"
"H3","#4A73BD"
"H4","#589AD5"
"H5","#A1C4E9"
"I1","#46008C"
"I2","#5E318C"
"I3","#77628C"
"I4","#AC59FF"
"I5","#A297E9"
"J1","#33151A"
"J2","#520F41"
"J3","#840E47"
"J4","#8C6277"
"J5","#C6A5B6"
"K1","#E30E5C"
"K2","#FF59AC"
"K3","#EF8CAE"
"K4","#EAD0CD"
"K5","#FFDFEF"
"L1","#3D1F00"
"L2","#8C5E31"
"L3","#8E7032"
"L4","#8C7762"
"L5","#C69C7B"
"M1","#5E1800"
"M2","#8C4600"
"M3","#D1B45B"
"M4","#E2DB9A"
"M5","#FFFFFF"
"N1","#000000"
"N2","#505050"
"N3","#828283"
"N4","#B5B5B6"
"N5","#E7E7E7"
